site,plot,core,treatment,depth,date,fine_alive,fine_dead,coarse,total_biomass,total_fine_biomass
SC,1C,RT1,Control,0-10cm,07/29/2024,0.2492,0.0032,0.0601,0.3125,0.2524
SC,1C,RT1,Control,10-20cm,07/29/2024,0.1132,0.0011,,0.1143,0.1143
SC,1C,RT2,Control,0-10cm,07/29/2024,0.3923,0.008,0.0315,0.4318,0.4003
SC,1C,RT2,Control,10-20cm,07/29/2024,0.1118,0.0012,,0.113,0.113
SC,1C,RT3,Control,0-10cm,07/29/2024,0.3555,0.0306,0.2516,0.6377,0.3861
SC,1C,RT3,Control,10-20cm,07/29/2024,0.1325,0.0035,0.0455,0.1815,0.136
SC,2E,RT1,Drying,0-10cm,07/28/2024,0.199,0.0143,0.0548,0.2681,0.2133
SC,2E,RT1,Drying,10-20cm,07/28/2024,0.0709,0.0269,,0.0978,0.0978
SC,2E,RT2,Drying,0-10cm,07/28/2024,0.2068,0.0026,0.128,0.3374,0.2094
SC,2E,RT2,Drying,10-20cm,07/28/2024,0.0347,0.0001,0.0131,0.0479,0.0348
SC,2E,RT3,Drying,0-10cm,07/28/2024,0.1724,0.0037,0.0352,0.2113,0.1761
SC,2E,RT3,Drying,10-20cm,07/28/2024,0.0403,0.0051,,0.0454,0.0454
SC,3C,RT1,Control,0-10cm,07/29/2024,0.296,0.0036,0.0066,0.3062,0.2996
SC,3C,RT1,Control,10-20cm,07/29/2024,0.0995,0.0039,0.0568,0.1602,0.1034
SC,3C,RT2,Control,0-10cm,07/29/2024,0.3144,0.024,0.0996,0.438,0.3384
SC,3C,RT2,Control,10-20cm,07/29/2024,0.0809,0.0045,,0.0854,0.0854
SC,3C,RT3,Control,0-10cm,07/29/2024,0.2805,0.0191,0.0268,0.3264,0.2996
SC,3C,RT3,Control,10-20cm,07/29/2024,0.1391,0.0038,,0.1429,0.1429
SC,4E,RT1,Drying,0-10cm,07/29/2024,0.2569,0.0399,0.0875,0.3843,0.2968
SC,4E,RT1,Drying,10-20cm,07/29/2024,0.1009,0.0078,0.0256,0.1343,0.1087
SC,4E,RT2,Drying,0-10cm,07/29/2024,0.1424,0.0085,0.2038,0.3547,0.1509
SC,4E,RT2,Drying,10-20cm,07/29/2024,0.0131,0.0022,,0.0153,0.0153
SC,4E,RT3,Drying,0-10cm,07/29/2024,0.1041,0.0175,,0.1216,0.1216
SC,4E,RT3,Drying,10-20cm,07/29/2024,0.0237,0.0047,,0.0284,0.0284
SC,5C,RT1,Control,0-10cm,07/29/2024,0.1124,0.0048,,0.1172,0.1172
SC,5C,RT1,Control,10-20cm,07/29/2024,0.053,0.0043,0.0283,0.0856,0.0573
SC,5C,RT2,Control,0-10cm,07/29/2024,0.0877,0.0098,0.0204,0.1179,0.0975
SC,5C,RT2,Control,10-20cm,07/29/2024,0.0208,0.0024,,0.0232,0.0232
SC,5C,RT3,Control,0-10cm,07/29/2024,0.238,0.0063,0.0191,0.2634,0.2443
SC,5C,RT3,Control,10-20cm,07/29/2024,0.0329,0.004,,0.0369,0.0369
SC,6E,RT1,Drying,0-10cm,07/29/2024,0.057,0.0141,,0.0711,0.0711
SC,6E,RT1,Drying,10-20cm,07/29/2024,0.0002,,,0.0002,0.0002
SC,6E,RT2,Drying,0-10cm,07/29/2024,0.0057,0.0007,,0.0064,0.0064
SC,6E,RT2,Drying,10-20cm,07/29/2024,0.0094,0.0009,,0.0103,0.0103
SC,6E,RT3,Drying,0-10cm,07/29/2024,0.081,0.0015,0.0678,0.1503,0.0825
SC,6E,RT3,Drying,10-20cm,07/29/2024,0.0153,0.011,,0.0263,0.0263
SC,7C,RT1,Control,0-10cm,07/29/2024,0.0334,0.0013,,0.0347,0.0347
SC,7C,RT1,Control,10-20cm,07/29/2024,0.0502,0.0043,0.0247,0.0792,0.0545
SC,7C,RT2,Control,0-10cm,07/29/2024,0.0787,0.0233,0.086,0.188,0.102
SC,7C,RT2,Control,10-20cm,07/29/2024,0.1021,0.0295,0.1398,0.2714,0.1316
SC,7C,RT3,Control,0-10cm,07/29/2024,0.134,0.0296,0.08,0.2436,0.1636
SC,7C,RT3,Control,10-20cm,07/29/2024,0.0168,0.0011,,0.0179,0.0179
SC,8E,RT1,Drying,0-10cm,07/29/2024,0.0036,,,0.0036,0.0036
SC,8E,RT1,Drying,10-20cm,07/29/2024,0.0012,0.0011,,0.0023,0.0023
SC,8E,RT2,Drying,0-10cm,07/29/2024,0.0126,0.0017,,0.0143,0.0143
SC,8E,RT2,Drying,10-20cm,07/29/2024,0.0025,0.0009,,0.0034,0.0034
SC,8E,RT3,Drying,0-10cm,07/29/2024,0.0114,0.0072,,0.0186,0.0186
SC,8E,RT3,Drying,10-20cm,07/29/2024,0.0017,0.0006,,0.0023,0.0023
